main_objectid,objectname,sample_typename,created_date,updated_date,main_objectfilepath,linked_objectid,linked_objectfilepath,associated_typename
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13246,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13247,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13248,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13249,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13250,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13251,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13252,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13253,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13254,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13255,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13256,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13257,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13258,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13259,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13260,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13261,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13262,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13263,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13264,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13265,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13266,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13267,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13268,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13269,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13270,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13271,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13272,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13273,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13274,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13275,,Volume Composition
