Index,Au,Pd,Pt,Ru
1,21.25,71.65,5.51,1.59
2,18.31,74.99,5.31,1.4
3,15.05,78.65,4.8,1.5
4,12.56,80.83,4.41,2.2
5,10.82,83.46,3.73,1.99
6,9.05,85.79,3.44,1.72
7,8.11,87.06,3.38,1.45
8,6.82,88.64,2.71,1.83
9,5.96,89.47,2.47,2.09
10,5.12,90.67,2.31,1.9
11,4.31,91.64,2.3,1.76
12,23.61,68.01,6.94,1.44
13,20.08,71.09,6.91,1.92
14,17.35,74.53,6.31,1.81
15,14.92,77.81,5.85,1.42
16,12.32,80.61,5.21,1.87
17,10.78,82.54,4.72,1.97
18,9.36,85.04,4.13,1.46
19,7.56,86.64,3.86,1.94
20,7.23,87.87,3.28,1.62
21,5.87,88.78,3.01,2.34
22,5.06,90.08,2.72,2.15
23,4.42,90.98,2.38,2.21
24,4.06,91.62,2.07,2.25
25,25.23,63.0,9.52,2.25
26,22.72,66.58,8.52,2.17
27,19.4,71.34,7.96,1.3
28,17.11,74.02,6.89,1.99
29,14.46,76.94,6.44,2.16
30,12.6,80.12,5.58,1.69
31,10.5,81.97,5.24,2.3
32,9.18,84.23,4.68,1.91
33,8.14,85.66,3.96,2.24
34,6.74,87.27,3.77,2.22
35,6.14,88.2,3.22,2.44
36,4.98,89.27,3.25,2.5
37,4.61,90.69,2.67,2.03
38,3.82,91.17,2.51,2.5
39,3.5,91.8,2.22,2.48
40,27.56,58.82,11.49,2.13
41,24.78,62.33,10.93,1.96
42,21.79,65.81,10.01,2.39
43,19.67,69.45,8.55,2.33
44,16.99,71.88,8.12,3.01
45,14.31,76.72,6.92,2.05
46,12.28,78.99,6.37,2.36
47,10.49,81.2,5.74,2.57
48,8.96,83.08,5.36,2.6
49,8.06,84.4,4.78,2.76
50,6.78,86.42,4.39,2.41
51,5.9,87.87,3.66,2.57
52,4.92,88.67,3.56,2.85
53,4.52,89.29,3.2,2.99
54,3.87,90.09,2.74,3.3
55,3.38,91.09,2.7,2.83
56,2.94,91.83,2.45,2.78
57,28.27,54.6,14.92,2.21
58,25.87,58.3,13.84,1.99
59,23.97,61.07,12.06,2.9
60,21.48,65.1,10.93,2.49
61,18.61,68.97,10.03,2.39
62,16.58,72.32,8.72,2.38
63,14.48,74.83,8.13,2.56
64,12.64,77.81,6.94,2.6
65,10.17,80.31,6.62,2.9
66,9.16,81.81,5.8,3.23
67,8.09,83.89,5.25,2.77
68,6.92,84.87,4.72,3.49
69,5.88,86.57,4.51,3.04
70,5.21,87.42,4.11,3.26
71,4.4,89.16,3.5,2.94
72,4.16,89.59,3.04,3.21
73,3.5,90.37,2.86,3.27
74,3.0,90.64,2.7,3.66
75,2.38,92.01,2.54,3.08
76,27.1,53.45,17.14,2.3
77,25.41,56.34,15.07,3.17
78,23.33,59.8,13.83,3.05
79,20.21,63.9,12.93,2.95
80,18.24,67.85,11.17,2.74
81,16.01,70.65,10.28,3.06
82,13.96,74.36,8.89,2.79
83,12.09,76.85,8.05,3.01
84,10.55,78.84,7.43,3.19
85,9.18,80.78,6.64,3.39
86,7.96,83.03,5.91,3.11
87,6.76,84.15,5.22,3.86
88,5.67,85.23,4.83,4.28
89,5.09,86.74,4.47,3.7
90,4.65,87.96,4.04,3.35
91,4.02,88.89,3.57,3.52
92,3.5,89.35,3.34,3.82
93,3.07,90.16,3.0,3.77
94,2.61,91.06,2.63,3.7
95,27.86,49.05,21.18,1.91
96,26.15,51.58,19.0,3.27
97,24.4,55.81,16.88,2.91
98,22.58,59.11,15.78,2.53
99,20.52,62.24,14.03,3.21
100,17.7,66.42,12.54,3.34
101,15.92,69.23,11.45,3.4
102,14.18,72.61,10.15,3.06
103,12.25,75.18,9.05,3.52
104,10.44,77.97,8.04,3.55
105,9.12,80.04,7.31,3.54
106,7.89,81.48,6.75,3.88
107,7.24,82.7,6.02,4.04
108,5.85,84.52,5.6,4.02
109,5.19,85.88,5.0,3.93
110,4.46,86.73,4.48,4.33
111,4.07,87.57,3.86,4.49
112,3.44,88.88,3.78,3.9
113,3.09,89.37,3.5,4.04
114,2.77,90.07,2.89,4.27
115,2.28,90.75,2.68,4.29
116,26.03,46.8,23.56,3.61
117,24.51,51.2,21.06,3.23
118,23.64,53.53,19.65,3.17
119,21.7,57.15,17.85,3.3
120,19.78,61.1,15.23,3.89
121,17.52,65.2,13.8,3.48
122,15.69,67.85,12.15,4.32
123,13.96,70.93,11.19,3.92
124,12.03,74.41,9.91,3.65
125,10.15,76.42,9.04,4.38
126,9.51,78.65,7.85,4.0
127,7.71,80.36,7.58,4.35
128,6.95,82.0,6.7,4.35
129,6.21,83.21,6.07,4.5
130,5.18,84.94,5.65,4.22
131,4.45,86.12,5.07,4.36
132,3.73,86.28,4.95,5.04
133,3.52,88.09,4.08,4.32
134,3.17,88.1,3.65,5.08
135,2.68,89.62,3.34,4.36
136,2.22,90.05,2.99,4.74
137,25.75,45.41,25.29,3.54
138,23.68,48.82,23.57,3.93
139,22.58,52.24,21.76,3.41
140,21.45,55.5,18.69,4.36
141,18.59,59.92,17.07,4.42
142,17.21,62.9,15.56,4.34
143,15.5,66.13,13.98,4.39
144,13.66,69.27,12.44,4.63
145,11.96,72.05,11.15,4.84
146,10.36,74.59,9.89,5.16
147,9.08,76.72,8.9,5.29
148,8.08,79.04,8.17,4.71
149,7.11,80.6,7.36,4.93
150,5.95,82.28,6.92,4.86
151,5.1,83.47,6.25,5.18
152,4.33,84.34,5.72,5.61
153,4.09,85.91,4.9,5.1
154,3.35,86.85,4.66,5.15
155,3.16,87.75,4.16,4.94
156,2.52,87.89,3.85,5.75
157,2.38,89.25,3.2,5.17
158,23.37,44.22,27.62,4.78
159,22.54,47.36,25.18,4.93
160,22.12,50.83,23.52,3.53
161,20.0,54.07,22.02,3.91
162,18.23,58.27,18.75,4.75
163,16.54,61.33,17.39,4.74
164,14.91,64.72,15.27,5.1
165,12.94,67.73,13.91,5.42
166,12.22,70.99,12.19,4.61
167,10.15,73.24,11.22,5.38
168,9.01,75.38,10.19,5.43
169,7.95,77.5,9.11,5.44
170,6.68,79.46,8.46,5.4
171,5.93,80.67,7.25,6.15
172,5.26,81.92,6.69,6.12
173,4.28,83.69,6.38,5.65
174,3.93,84.33,5.82,5.92
175,3.55,85.65,5.07,5.72
176,2.77,86.44,4.65,6.14
177,2.5,87.16,4.39,5.95
178,2.52,87.56,3.89,6.03
179,22.6,42.56,31.26,3.59
180,21.22,46.41,28.21,4.16
181,20.73,49.2,25.61,4.45
182,18.88,51.57,23.78,5.77
183,18.42,55.26,20.87,5.45
184,15.98,59.37,19.69,4.97
185,14.76,61.95,17.43,5.86
186,13.61,65.01,15.32,6.07
187,12.06,68.58,13.61,5.75
188,10.41,71.55,12.28,5.76
189,8.52,73.68,11.59,6.22
190,7.49,75.9,10.32,6.29
191,6.85,77.36,9.21,6.58
192,6.0,78.65,8.47,6.88
193,4.77,81.33,7.8,6.1
194,4.32,82.83,6.87,5.98
195,3.78,83.56,6.51,6.15
196,3.24,84.68,5.78,6.3
197,3.15,85.41,5.05,6.39
198,2.51,86.36,4.67,6.46
199,2.36,87.16,4.09,6.39
200,21.38,40.95,34.18,3.49
201,19.51,43.22,31.37,5.9
202,19.29,47.26,28.48,4.96
203,18.54,49.78,26.04,5.65
204,16.8,53.48,23.66,6.06
205,15.94,56.27,21.62,6.17
206,14.63,60.6,18.91,5.86
207,12.62,63.93,16.49,6.96
208,11.41,66.16,15.2,7.23
209,9.74,70.06,14.03,6.17
210,8.7,71.62,12.74,6.94
211,7.81,73.69,11.0,7.5
212,6.8,76.39,10.15,6.66
213,6.16,77.48,8.89,7.47
214,5.07,79.15,8.63,7.15
215,4.15,80.87,7.7,7.28
216,3.99,81.66,6.9,7.45
217,3.39,82.9,6.27,7.44
218,3.14,84.12,5.45,7.28
219,2.83,84.69,5.19,7.29
220,2.29,84.9,4.79,8.02
221,19.92,38.63,36.5,4.94
222,18.4,41.92,34.23,5.45
223,18.23,44.61,30.72,6.45
224,17.41,48.24,28.58,5.77
225,16.85,51.25,26.12,5.77
