Index,Cu,Pt
319,8.46,91.54
320,9.32,90.68
321,9.67,90.33
322,10.04,89.96
323,10.56,89.44
324,10.94,89.06
325,6.77,93.23
326,7.22,92.78
327,7.5,92.5
328,7.4,92.6
329,7.16,92.84
330,8.08,91.92
331,7.43,92.57
332,7.29,92.71
333,8.91,91.09
334,9.04,90.96
335,9.68,90.32
336,6.29,93.71
337,6.46,93.54
338,6.19,93.81
339,7.38,92.62
340,6.81,93.19
341,6.84,93.16
342,6.72,93.28
