;x;y;Cu;Pd;Ag;Pt;Au
Spektrum 1 {110};-27.169;-18.467;14.8;4.6;61.5;10.2;8.9
Spektrum 1 {111};-22.669;-18.467;15.8;3.7;64.2;8.4;7.9
Spektrum 1 {112};-18.168;-18.467;14.4;4.0;63.6;8.6;9.3
Spektrum 1 {113};-13.671;-18.467;12.5;3.4;67.1;8.1;8.9
Spektrum 1 {114};-9.169;-18.467;13.1;4.9;66.2;8.2;7.7
Spektrum 1 {115};-4.668;-18.467;11.6;5.4;67.8;7.3;7.9
Spektrum 1 {116};-0.169;-18.467;11.2;5.7;68.5;6.1;8.5
Spektrum 1 {117};4.32;-18.467;9.5;4.8;70.2;7.0;8.5
Spektrum 1 {118};8.819;-18.467;9.8;4.9;72.2;5.1;8.1
Spektrum 1 {119};13.32;-18.467;7.3;5.4;73.9;6.0;7.5
Spektrum 1 {120};17.818;-18.467;9.5;5.7;72.4;4.7;7.8
Spektrum 1 {121};22.32;-18.467;8.9;5.9;72.1;5.1;8.0
Spektrum 1 {122};26.82;-18.467;9.5;7.8;70.5;4.6;7.6
Spektrum 1 {123};31.32;-18.467;6.1;5.3;75.9;4.9;7.8
Spektrum 1 {124};35.82;-18.467;8.8;7.2;72.2;3.9;7.9
Spektrum 1 {125};40.318;-18.467;6.9;7.6;74.7;3.6;7.1
Spektrum 1 {127};-45.167;-13.964;19.7;2.1;58.2;12.7;7.3
Spektrum 1 {128};-40.672;-13.964;17.4;3.9;59.3;11.7;7.8
Spektrum 1 {129};-36.17;-13.964;15.2;3.8;63.3;10.1;7.6
Spektrum 1 {130};-31.67;-13.964;17.5;2.4;62.0;10.8;7.3
Spektrum 1 {131};-27.171;-13.964;16.3;3.8;63.2;9.0;7.8
Spektrum 1 {132};-22.67;-13.964;16.3;3.8;63.2;8.8;8.0
Spektrum 1 {133};-18.168;-13.964;15.4;4.0;64.7;7.7;8.2
Spektrum 1 {134};-13.669;-13.964;12.3;4.3;68.7;8.0;6.6
Spektrum 1 {135};-9.169;-13.964;11.3;4.5;69.9;7.0;7.4
Spektrum 1 {136};-4.668;-13.964;13.8;4.1;68.3;6.5;7.3
Spektrum 1 {137};-0.168;-13.964;9.3;5.1;71.4;6.5;7.6
Spektrum 1 {138};4.319;-13.964;10.4;4.9;71.8;5.5;7.4
Spektrum 1 {139};8.819;-13.964;10.0;5.0;71.4;5.4;8.1
Spektrum 1 {140};13.319;-13.964;9.1;5.8;73.2;4.6;7.3
Spektrum 1 {141};17.819;-13.964;9.3;5.2;73.4;5.0;7.1
Spektrum 1 {142};22.32;-13.964;9.2;4.4;74.9;5.0;6.5
Spektrum 1 {143};26.819;-13.964;7.5;6.5;74.4;4.7;6.9
Spektrum 1 {144};31.32;-13.964;6.7;6.7;74.6;4.6;7.5
Spektrum 1 {145};35.819;-13.964;7.0;7.0;75.4;3.9;6.7
Spektrum 1 {146};40.319;-13.964;7.3;8.0;74.8;3.2;6.7
Spektrum 1 {147};44.819;-13.964;6.2;7.4;75.9;3.8;6.7
Spektrum 1 {148};-45.169;-9.466;18.5;3.0;59.4;11.8;7.3
Spektrum 1 {149};-40.67;-9.466;18.6;2.1;61.1;11.1;7.2
Spektrum 1 {150};-36.171;-9.466;17.1;3.5;60.9;10.9;7.6
Spektrum 1 {151};-31.671;-9.466;16.0;3.7;64.5;8.8;6.9
Spektrum 1 {152};-27.171;-9.466;16.7;4.1;63.0;8.1;8.1
Spektrum 1 {153};-22.669;-9.466;15.1;2.2;67.1;7.7;7.9
Spektrum 1 {154};-18.17;-9.466;14.0;3.0;68.7;7.7;6.5
Spektrum 1 {155};-13.669;-9.466;12.7;4.2;68.7;7.2;7.2
Spektrum 1 {156};-9.169;-9.466;13.4;3.8;69.7;6.4;6.8
Spektrum 1 {157};-4.668;-9.466;12.0;3.7;70.8;6.6;6.8
Spektrum 1 {158};-0.17;-9.466;11.2;3.7;72.9;6.2;5.9
Spektrum 1 {159};4.318;-9.466;10.6;5.0;72.0;5.4;7.1
Spektrum 1 {160};8.819;-9.466;10.4;4.8;73.0;5.1;6.6
Spektrum 1 {161};13.32;-9.466;9.3;4.3;75.1;5.4;5.9
Spektrum 1 {162};17.821;-9.466;10.1;5.2;73.7;4.8;6.2
Spektrum 1 {163};22.32;-9.466;8.0;4.9;76.0;4.4;6.6
Spektrum 1 {164};26.82;-9.466;7.1;6.2;75.2;4.6;6.8
Spektrum 1 {165};31.318;-9.466;8.3;5.7;76.1;4.1;5.9
Spektrum 1 {166};35.821;-9.466;7.4;6.0;76.6;3.9;6.1
Spektrum 1 {167};40.319;-9.466;5.9;6.8;77.4;3.4;6.5
Spektrum 1 {168};44.82;-9.466;4.2;7.1;79.2;3.3;6.2
Spektrum 1 {169};-45.167;-4.966;19.0;2.0;60.2;11.4;7.3
Spektrum 1 {170};-40.67;-4.966;15.6;2.0;63.2;11.3;7.9
Spektrum 1 {171};-36.17;-4.966;16.4;1.8;64.4;9.9;7.5
Spektrum 1 {172};-31.67;-4.966;16.2;3.3;64.6;9.9;6.1
Spektrum 1 {173};-27.171;-4.966;15.8;1.9;67.1;7.8;7.3
Spektrum 1 {174};-22.67;-4.966;16.1;3.4;67.2;7.1;6.2
Spektrum 1 {175};-18.17;-4.966;14.0;2.0;70.6;7.8;5.6
Spektrum 1 {176};-13.669;-4.966;13.7;3.8;70.1;6.7;5.7
Spektrum 1 {177};-9.171;-4.966;11.4;4.1;71.5;6.7;6.3
Spektrum 1 {178};-4.671;-4.966;14.0;5.0;69.7;5.8;5.6
Spektrum 1 {179};-0.169;-4.966;10.1;3.4;74.4;6.3;5.8
Spektrum 1 {180};4.32;-4.966;10.9;4.1;73.6;5.7;5.7
Spektrum 1 {181};8.82;-4.966;9.9;4.2;75.2;4.9;5.7
Spektrum 1 {182};13.319;-4.966;10.7;4.8;74.0;4.5;5.9
Spektrum 1 {183};17.819;-4.966;9.3;4.9;74.5;4.7;6.7
Spektrum 1 {184};22.32;-4.966;8.5;3.9;77.6;4.8;5.1
Spektrum 1 {185};26.819;-4.966;8.2;6.0;75.9;4.2;5.7
Spektrum 1 {186};31.319;-4.966;8.1;5.4;77.3;4.2;5.0
Spektrum 1 {187};35.819;-4.966;7.5;5.7;77.3;3.7;5.7
Spektrum 1 {188};40.318;-4.966;7.0;6.0;77.9;3.9;5.1
Spektrum 1 {189};44.819;-4.966;5.5;7.3;77.7;3.6;5.8
Spektrum 1 {190};-45.168;-0.468;18.2;2.0;61.6;11.0;7.2
Spektrum 1 {191};-40.672;-0.468;19.9;3.5;60.5;9.7;6.5
Spektrum 1 {192};-36.17;-0.468;17.6;2.4;64.2;9.1;6.7
Spektrum 1 {193};-31.67;-0.468;17.1;2.5;64.7;9.6;6.0
Spektrum 1 {194};-27.169;-0.468;15.4;2.3;67.1;8.2;7.0
Spektrum 1 {195};-22.669;-0.468;13.9;2.4;69.8;8.4;5.6
Spektrum 1 {196};-18.169;-0.468;14.4;2.0;69.9;7.3;6.3
Spektrum 1 {197};-13.669;-0.468;14.2;4.9;68.8;6.5;5.5
Spektrum 1 {198};-9.17;-0.468;12.3;2.8;73.3;6.0;5.6
Spektrum 1 {199};-4.67;-0.468;12.5;3.4;72.5;6.1;5.5
Spektrum 1 {200};-0.169;-0.468;11.5;3.7;74.4;5.3;5.0
Spektrum 1 {201};4.32;-0.468;11.7;3.8;74.0;5.3;5.3
Spektrum 1 {202};8.82;-0.468;9.4;5.1;75.4;4.5;5.7
Spektrum 1 {203};13.319;-0.468;10.1;4.4;74.6;4.5;6.5
Spektrum 1 {204};17.818;-0.468;10.0;4.6;75.6;4.6;5.1
Spektrum 1 {205};22.318;-0.468;8.6;4.6;77.2;4.3;5.3
Spektrum 1 {206};26.818;-0.468;7.5;4.9;78.5;4.0;5.1
Spektrum 1 {207};31.318;-0.468;8.4;5.8;77.3;3.4;5.0
Spektrum 1 {208};35.818;-0.468;7.1;6.4;78.8;3.5;4.2
Spektrum 1 {209};40.318;-0.468;8.2;5.5;77.9;3.2;5.3
Spektrum 1 {210};44.819;-0.468;6.2;6.4;79.9;3.2;4.3
Spektrum 1 {211};-45.167;4.022;21.0;1.6;61.4;10.1;5.9
Spektrum 1 {212};-40.67;4.022;17.9;1.3;64.5;9.7;6.6
Spektrum 1 {213};-36.17;4.022;18.1;2.3;65.2;8.2;6.2
Spektrum 1 {214};-31.67;4.022;16.0;5.4;65.0;7.7;5.8
Spektrum 1 {215};-27.171;4.022;17.2;2.3;67.6;7.6;5.3
Spektrum 1 {216};-22.67;4.022;14.8;3.3;68.9;7.4;5.6
Spektrum 1 {217};-18.17;4.022;15.2;3.1;70.0;6.4;5.3
Spektrum 1 {218};-13.671;4.022;15.2;2.3;71.5;6.0;5.0
Spektrum 1 {219};-9.17;4.022;14.5;2.3;72.4;5.5;5.3
Spektrum 1 {220};-4.671;4.022;13.1;3.6;72.8;5.8;4.8
Spektrum 1 {221};-0.169;4.022;11.5;3.9;74.2;5.5;4.9
Spektrum 1 {222};4.32;4.022;13.0;3.9;74.1;4.5;4.5
Spektrum 1 {223};8.819;4.022;10.5;4.7;76.2;4.0;4.6
Spektrum 1 {224};13.32;4.022;10.7;5.4;75.4;3.8;4.7
Spektrum 1 {225};17.819;4.022;8.5;4.6;78.2;3.6;5.0
Spektrum 1 {226};22.32;4.022;7.5;3.8;79.9;3.6;5.2
Spektrum 1 {227};26.82;4.022;7.7;4.3;79.3;3.7;5.0
Spektrum 1 {228};31.32;4.022;8.2;5.5;78.2;3.6;4.6
Spektrum 1 {229};35.818;4.022;7.8;6.0;78.1;3.3;4.8
Spektrum 1 {230};40.319;4.022;6.7;5.6;80.2;3.3;4.2
Spektrum 1 {231};44.819;4.022;6.3;6.7;79.7;3.0;4.3
Spektrum 1 {232};-45.167;8.523;22.9;1.2;60.8;9.5;5.5
Spektrum 1 {233};-40.672;8.523;20.7;2.6;62.7;8.7;5.4
Spektrum 1 {234};-36.171;8.523;19.3;2.1;64.8;9.0;4.7
Spektrum 1 {235};-31.67;8.523;19.5;1.8;65.2;7.7;5.7
Spektrum 1 {236};-27.171;8.523;16.8;1.8;68.7;7.3;5.5
Spektrum 1 {237};-22.67;8.523;16.1;3.1;68.7;6.2;6.0
Spektrum 1 {238};-18.169;8.523;16.6;3.1;69.7;6.6;4.0
Spektrum 1 {239};-13.669;8.523;14.1;3.0;72.2;5.7;5.0
Spektrum 1 {240};-9.171;8.523;12.6;3.7;74.0;5.6;4.1
Spektrum 1 {241};-4.67;8.523;13.1;2.9;74.4;4.8;4.8
Spektrum 1 {242};-0.17;8.523;12.1;3.0;75.5;4.8;4.5
Spektrum 1 {243};4.321;8.523;11.9;3.3;75.1;5.7;3.9
Spektrum 1 {244};8.819;8.523;10.6;3.9;76.2;4.1;5.2
Spektrum 1 {245};13.32;8.523;9.7;4.2;77.6;4.2;4.3
Spektrum 1 {246};17.819;8.523;10.6;3.9;77.7;3.5;4.4
Spektrum 1 {247};22.32;8.523;9.1;4.7;77.9;3.9;4.5
Spektrum 1 {248};26.818;8.523;8.2;4.5;79.5;3.6;4.1
Spektrum 1 {249};31.32;8.523;7.3;5.7;79.5;3.2;4.3
Spektrum 1 {250};35.819;8.523;7.5;4.4;80.8;2.9;4.4
Spektrum 1 {251};40.32;8.523;7.0;5.7;80.1;2.9;4.3
Spektrum 1 {252};44.82;8.523;6.9;5.4;80.7;2.6;4.4
Spektrum 1 {253};-45.168;13.021;20.0;2.0;63.8;9.7;4.5
Spektrum 1 {254};-40.671;13.021;22.0;0.9;63.3;8.6;5.1
Spektrum 1 {255};-36.172;13.021;17.9;1.4;67.3;7.9;5.4
Spektrum 1 {256};-31.672;13.021;16.2;2.6;68.5;8.1;4.7
Spektrum 1 {257};-27.17;13.021;19.6;1.5;68.3;7.1;3.5
Spektrum 1 {258};-22.67;13.021;16.4;3.5;69.2;6.2;4.7
Spektrum 1 {259};-18.168;13.021;15.4;1.8;71.3;6.6;4.8
Spektrum 1 {260};-13.67;13.021;13.9;2.2;73.4;6.5;4.1
Spektrum 1 {261};-9.169;13.021;13.9;2.1;74.7;4.8;4.5
Spektrum 1 {262};-4.67;13.021;14.0;2.6;75.2;4.5;3.7
Spektrum 1 {263};-0.171;13.021;12.1;2.6;75.9;4.9;4.6
Spektrum 1 {264};4.318;13.021;10.8;3.1;77.9;4.6;3.5
Spektrum 1 {265};8.818;13.021;11.2;3.9;76.7;4.2;4.0
Spektrum 1 {266};13.318;13.021;9.5;3.7;78.4;4.2;4.1
Spektrum 1 {267};17.818;13.021;8.7;3.9;80.3;3.3;3.9
Spektrum 1 {268};22.32;13.021;8.6;2.9;80.4;3.7;4.4
Spektrum 1 {269};26.82;13.021;8.7;4.5;79.8;3.1;3.9
Spektrum 1 {270};31.32;13.021;7.5;4.5;81.2;2.9;3.9
Spektrum 1 {271};35.819;13.021;6.7;4.5;81.4;3.1;4.3
Spektrum 1 {272};40.318;13.021;6.5;4.3;83.0;2.4;3.8
Spektrum 1 {273};44.819;13.021;5.7;5.1;82.4;2.9;3.9
Spektrum 1 {275};-40.672;17.523;19.4;2.6;65.0;8.0;5.0
Spektrum 1 {276};-36.171;17.523;18.8;2.4;67.3;7.3;4.1
Spektrum 1 {277};-31.67;17.523;18.0;2.3;67.4;7.1;5.2
Spektrum 1 {278};-27.171;17.523;18.6;2.0;68.8;6.7;3.9
Spektrum 1 {279};-22.67;17.523;18.0;2.5;68.8;5.9;4.8
Spektrum 1 {280};-18.169;17.523;15.1;0.5;73.7;6.7;4.0
Spektrum 1 {281};-13.67;17.523;15.2;2.9;72.6;5.4;4.0
Spektrum 1 {282};-9.17;17.523;13.3;3.4;74.4;5.5;3.4
Spektrum 1 {283};-4.671;17.523;14.2;3.7;74.4;4.2;3.5
Spektrum 1 {284};-0.169;17.523;11.3;2.2;78.3;4.2;4.0
Spektrum 1 {285};4.318;17.523;12.1;4.1;76.1;4.1;3.7
Spektrum 1 {286};8.819;17.523;10.8;3.7;78.2;3.6;3.7
Spektrum 1 {287};13.32;17.523;9.3;3.7;79.8;3.8;3.5
Spektrum 1 {288};17.819;17.523;9.6;2.9;80.9;3.1;3.5
Spektrum 1 {289};22.32;17.523;9.4;3.6;80.6;3.2;3.2
Spektrum 1 {290};26.819;17.523;8.6;3.8;81.3;2.9;3.4
Spektrum 1 {291};31.318;17.523;7.2;3.8;82.7;2.7;3.6
Spektrum 1 {292};35.818;17.523;7.2;3.1;83.5;3.0;3.3
Spektrum 1 {293};40.319;17.523;6.6;3.7;83.9;2.6;3.2
Spektrum 1 {296};-40.67;22.025;24.5;1.1;62.8;7.7;4.0
Spektrum 1 {297};-36.17;22.025;20.0;1.7;67.4;7.2;3.7
Spektrum 1 {298};-31.669;22.025;18.9;1.8;68.1;7.3;3.9
Spektrum 1 {299};-27.169;22.025;17.4;2.3;70.3;6.1;3.9
Spektrum 1 {300};-22.669;22.025;16.6;1.3;71.6;6.0;4.5
Spektrum 1 {301};-18.169;22.025;15.1;1.2;74.0;5.3;4.3
Spektrum 1 {302};-13.669;22.025;15.5;3.1;72.2;4.9;4.3
Spektrum 1 {303};-9.17;22.025;15.7;1.5;74.9;4.2;3.7
Spektrum 1 {304};-4.671;22.025;13.9;1.7;76.3;4.7;3.4
Spektrum 1 {305};-0.17;22.025;13.6;2.5;76.1;4.2;3.5
Spektrum 1 {306};4.318;22.025;12.8;2.7;76.8;3.9;3.8
Spektrum 1 {307};8.817;22.025;10.7;3.3;78.8;3.5;3.7
Spektrum 1 {308};13.317;22.025;9.6;2.8;80.6;3.4;3.6
Spektrum 1 {309};17.819;22.025;8.8;2.5;81.9;3.4;3.5
Spektrum 1 {310};22.317;22.025;8.9;3.2;81.9;2.9;3.0
Spektrum 1 {311};26.818;22.025;7.6;3.8;82.2;3.4;3.0
Spektrum 1 {312};31.318;22.025;7.8;3.8;82.5;2.8;3.0
Spektrum 1 {313};35.817;22.025;7.3;2.7;83.6;2.9;3.4
Spektrum 1 {314};40.318;22.025;7.3;3.5;83.7;2.3;3.1
Spektrum 1 {318};-36.17;26.525;19.9;2.0;67.6;6.4;4.0
Spektrum 1 {319};-31.67;26.525;19.4;1.5;69.0;6.6;3.5
Spektrum 1 {320};-27.172;26.525;17.2;1.7;70.7;6.2;4.2
Spektrum 1 {321};-22.671;26.525;17.6;0.5;72.5;5.7;3.7
Spektrum 1 {322};-18.171;26.525;16.8;2.5;72.4;5.0;3.3
Spektrum 1 {323};-13.669;26.525;15.2;1.8;74.0;5.4;3.6
Spektrum 1 {324};-9.169;26.525;14.6;2.2;75.0;4.6;3.7
Spektrum 1 {325};-4.67;26.525;14.3;2.9;75.3;4.1;3.4
Spektrum 1 {326};-0.17;26.525;12.7;2.6;77.4;3.8;3.4
Spektrum 1 {327};4.317;26.525;12.2;3.0;77.6;3.7;3.5
Spektrum 1 {328};8.818;26.525;10.1;1.9;81.5;3.4;3.2
Spektrum 1 {329};13.32;26.525;11.5;3.4;79.2;3.0;2.8
Spektrum 1 {330};17.82;26.525;9.6;3.2;80.5;3.6;3.0
Spektrum 1 {331};22.32;26.525;9.5;2.6;81.6;3.3;3.1
Spektrum 1 {332};26.818;26.525;8.1;3.2;83.2;2.9;2.7
Spektrum 1 {333};31.32;26.525;7.1;4.9;82.9;2.7;2.6
Spektrum 1 {334};35.82;26.525;6.3;4.0;84.3;2.5;2.8
Spektrum 1 {340};-31.671;31.026;20.5;0.7;69.1;6.0;3.7
Spektrum 1 {341};-27.171;31.026;19.6;1.7;69.7;5.5;3.5
Spektrum 1 {342};-22.669;31.026;17.4;1.8;71.1;5.5;4.1
Spektrum 1 {343};-18.17;31.026;17.9;0.9;73.4;4.7;3.1
Spektrum 1 {344};-13.67;31.026;14.9;1.8;74.8;4.6;4.0
Spektrum 1 {345};-9.169;31.026;15.7;0.4;76.6;4.0;3.4
Spektrum 1 {346};-4.669;31.026;13.6;2.9;76.2;4.1;3.2
Spektrum 1 {347};-0.171;31.026;13.5;2.6;76.6;3.7;3.6
Spektrum 1 {348};4.318;31.026;12.4;2.4;79.2;3.7;2.4
Spektrum 1 {349};8.818;31.026;11.5;1.6;80.7;3.7;2.6
Spektrum 1 {350};13.32;31.026;11.4;2.9;80.5;2.7;2.4
Spektrum 1 {351};17.82;31.026;10.5;2.1;81.5;3.1;2.8
Spektrum 1 {352};22.32;31.026;9.9;2.2;82.1;3.3;2.7
Spektrum 1 {353};26.818;31.026;8.1;1.9;84.6;3.1;2.4
Spektrum 1 {354};31.32;31.026;7.7;3.5;84.0;2.2;2.6
Spektrum 1 {362};-27.169;35.525;20.4;0.6;69.8;5.4;3.9
Spektrum 1 {363};-22.67;35.525;17.9;2.3;72.0;4.6;3.2
Spektrum 1 {364};-18.17;35.525;17.9;0.9;74.1;4.4;2.7
Spektrum 1 {365};-13.671;35.525;16.3;2.2;74.3;4.2;3.0
Spektrum 1 {366};-9.17;35.525;14.4;2.1;76.5;4.3;2.7
Spektrum 1 {367};-4.669;35.525;13.9;2.5;77.0;3.4;3.2
Spektrum 1 {368};-0.169;35.525;13.5;1.0;79.2;3.5;2.8
Spektrum 1 {369};4.317;35.525;13.0;1.3;79.2;3.5;3.0
Spektrum 1 {370};8.819;35.525;11.2;1.9;81.5;2.9;2.5
Spektrum 1 {371};13.32;35.525;10.2;2.5;81.2;2.9;3.2
Spektrum 1 {372};17.818;35.525;9.8;2.4;82.9;2.5;2.3
Spektrum 1 {373};22.318;35.525;8.4;2.4;84.4;2.4;2.4
Spektrum 1 {374};26.82;35.525;8.7;2.0;84.4;2.7;2.2
Spektrum 1 {384};-22.67;40.021;18.8;1.7;71.9;4.6;3.0
Spektrum 1 {385};-18.169;40.021;18.1;1.2;73.4;4.6;2.8
Spektrum 1 {386};-13.67;40.021;15.5;1.7;75.9;3.9;3.0
Spektrum 1 {387};-9.171;40.021;15.3;1.8;76.3;3.7;2.9
Spektrum 1 {388};-4.671;40.021;13.5;2.0;78.5;3.6;2.4
Spektrum 1 {389};-0.172;40.021;12.6;2.0;79.4;3.3;2.8
Spektrum 1 {390};4.318;40.021;11.6;2.5;80.6;3.0;2.3
Spektrum 1 {391};8.817;40.021;11.3;1.4;81.9;3.0;2.4
Spektrum 1 {392};13.319;40.021;9.9;2.0;83.1;2.3;2.7
Spektrum 1 {393};17.817;40.021;8.9;2.7;83.7;2.4;2.2
Spektrum 1 {394};22.317;40.021;10.1;2.5;82.5;2.5;2.3
Spektrum 1 {407};-13.67;44.521;16.1;2.2;74.9;3.9;2.9
Spektrum 1 {408};-9.17;44.521;14.5;2.0;77.5;3.2;2.8
Spektrum 1 {409};-4.67;44.521;15.2;1.1;77.3;3.5;2.8
Spektrum 1 {410};-0.171;44.521;15.1;1.4;78.3;3.1;2.1
Spektrum 1 {411};4.319;44.521;11.7;2.5;80.4;3.1;2.3
Spektrum 1 {412};8.818;44.521;11.7;2.0;80.8;3.3;2.2
Spektrum 1 {413};13.319;44.521;10.5;2.9;81.3;2.5;2.8
