Index,Au,Pd,Pt,Ru
273,76.31,10.78,3.8,9.11
274,74.78,11.76,3.57,9.89
275,71.41,13.74,3.76,11.09
276,69.45,15.69,3.24,11.63
277,65.99,17.5,3.12,13.39
278,63.23,18.78,3.27,14.71
279,61.82,20.16,2.57,15.45
280,89.25,2.45,6.49,1.81
281,88.51,2.95,6.19,2.35
282,87.32,3.18,6.21,3.29
283,87.27,3.72,5.74,3.27
284,85.1,5.08,5.62,4.2
285,84.05,5.46,5.68,4.81
286,84.69,5.28,5.25,4.78
287,81.59,5.95,5.31,7.15
288,80.33,7.13,5.29,7.26
289,78.09,8.57,4.83,8.51
290,75.78,9.56,5.2,9.46
291,74.76,9.85,5.14,10.26
292,71.01,12.66,4.49,11.84
293,69.64,13.27,4.38,12.71
294,66.87,14.64,4.2,14.29
295,63.39,16.69,3.61,16.31
296,61.51,18.53,3.82,16.14
297,85.12,3.23,8.53,3.12
298,85.48,3.64,7.79,3.08
299,83.9,3.71,7.78,4.6
300,83.58,4.56,7.12,4.74
301,81.7,5.46,6.83,6.01
302,80.42,5.72,7.12,6.73
303,79.36,6.11,6.67,7.86
304,77.24,7.91,6.46,8.38
305,76.14,8.08,5.93,9.85
306,73.54,9.57,6.07,10.82
307,71.2,11.12,5.52,12.16
308,69.67,11.25,5.53,13.55
309,66.75,13.36,5.19,14.7
310,64.22,15.18,4.75,15.86
311,61.41,15.25,5.57,17.78
312,82.32,3.99,9.44,4.25
313,80.69,4.9,8.97,5.44
314,80.48,4.89,8.99,5.64
315,79.49,5.52,8.25,6.74
316,78.39,5.67,8.01,7.93
317,76.28,6.41,8.3,9.01
318,74.78,6.81,8.05,10.35
319,73.59,7.7,7.62,11.08
320,71.66,9.38,7.01,11.95
321,68.88,10.39,6.98,13.75
322,66.25,10.95,6.98,15.81
323,65.36,12.39,6.3,15.96
324,62.6,13.59,6.42,17.39
325,78.8,3.91,10.9,6.39
326,77.42,4.72,10.5,7.37
327,76.31,5.38,10.05,8.26
328,74.74,5.58,10.46,9.22
329,74.26,5.83,9.51,10.39
330,70.91,7.43,9.42,12.24
331,69.59,8.12,9.28,13.01
332,67.98,8.73,8.64,14.65
333,66.03,9.75,8.28,15.94
334,63.32,10.66,8.04,17.98
335,60.62,12.09,7.79,19.5
336,73.74,4.89,11.68,9.69
337,72.36,5.99,10.67,10.98
338,70.6,6.07,10.78,12.55
339,68.97,7.08,10.52,13.43
340,67.68,7.16,10.27,14.89
341,65.29,8.36,10.34,16.01
342,62.03,9.34,9.53,19.1
