Index,Au,Pd,Pt,Ru
1,97.66,2.34,0.0,0.0
2,96.68,3.32,0.0,0.0
3,96.83,3.17,0.0,0.0
4,95.54,4.46,0.0,0.0
5,95.1,4.9,0.0,0.0
6,94.12,5.88,0.0,0.0
7,93.79,6.21,0.0,0.0
8,91.78,8.22,0.0,0.0
9,90.1,9.9,0.0,0.0
10,88.98,11.02,0.0,0.0
11,87.65,12.35,0.0,0.0
12,97.58,2.42,0.0,0.0
13,97.61,2.39,0.0,0.0
14,96.88,3.12,0.0,0.0
15,96.32,3.68,0.0,0.0
16,95.79,4.21,0.0,0.0
17,94.88,5.12,0.0,0.0
18,93.94,6.06,0.0,0.0
19,92.19,7.81,0.0,0.0
20,92.37,7.63,0.0,0.0
21,90.25,9.75,0.0,0.0
22,89.92,10.08,0.0,0.0
23,88.23,11.77,0.0,0.0
24,86.07,13.93,0.0,0.0
25,98.2,1.8,0.0,0.0
26,97.61,2.39,0.0,0.0
27,97.42,2.58,0.0,0.0
28,96.92,3.08,0.0,0.0
29,95.96,4.04,0.0,0.0
30,95.44,4.56,0.0,0.0
31,94.93,5.07,0.0,0.0
32,94.36,5.64,0.0,0.0
33,93.05,6.95,0.0,0.0
34,92.5,7.5,0.0,0.0
35,91.42,8.58,0.0,0.0
36,89.86,10.14,0.0,0.0
37,88.49,11.51,0.0,0.0
38,85.64,14.36,0.0,0.0
39,83.01,15.57,0.0,1.42
40,98.32,1.68,0.0,0.0
41,98.01,1.99,0.0,0.0
42,97.82,2.18,0.0,0.0
43,97.3,2.7,0.0,0.0
44,96.88,3.12,0.0,0.0
45,95.67,4.33,0.0,0.0
46,95.53,4.47,0.0,0.0
47,94.51,5.49,0.0,0.0
48,94.13,5.87,0.0,0.0
49,92.83,7.17,0.0,0.0
50,91.71,8.29,0.0,0.0
51,91.71,8.29,0.0,0.0
52,88.85,10.18,0.0,0.97
53,88.83,11.17,0.0,0.0
54,85.88,13.17,0.0,0.95
55,83.44,15.5,0.0,1.06
56,80.38,18.23,0.0,1.39
57,98.2,1.8,0.0,0.0
58,97.7,2.3,0.0,0.0
59,97.82,2.18,0.0,0.0
60,97.82,2.18,0.0,0.0
61,97.36,2.64,0.0,0.0
62,96.59,3.41,0.0,0.0
63,95.99,4.01,0.0,0.0
64,95.48,4.52,0.0,0.0
65,94.77,5.23,0.0,0.0
66,93.59,6.41,0.0,0.0
67,92.7,7.3,0.0,0.0
68,92.62,7.38,0.0,0.0
69,90.02,9.07,0.0,0.91
70,88.64,10.33,0.0,1.02
71,86.81,11.7,0.0,1.49
72,85.11,13.59,0.0,1.3
73,82.26,15.47,0.0,2.27
74,78.71,18.2,0.0,3.09
75,76.82,20.93,0.0,2.25
76,98.82,1.18,0.0,0.0
77,98.05,1.95,0.0,0.0
78,97.95,2.05,0.0,0.0
79,97.57,2.43,0.0,0.0
80,96.53,3.47,0.0,0.0
81,96.15,3.85,0.0,0.0
82,95.38,4.62,0.0,0.0
83,95.13,4.87,0.0,0.0
84,94.49,5.51,0.0,0.0
85,93.3,6.7,0.0,0.0
86,91.82,7.26,0.0,0.91
87,91.91,8.09,0.0,0.0
88,89.45,8.81,0.0,1.74
89,88.26,10.27,0.0,1.47
90,85.86,12.29,0.0,1.85
91,84.71,13.19,0.0,2.1
92,81.95,15.98,0.0,2.07
93,78.47,17.93,0.0,3.61
94,76.23,21.03,0.0,2.74
95,98.17,1.83,0.0,0.0
96,98.67,1.33,0.0,0.0
97,98.11,1.89,0.0,0.0
98,97.9,2.1,0.0,0.0
99,97.0,3.0,0.0,0.0
100,96.43,3.57,0.0,0.0
101,96.35,3.65,0.0,0.0
102,96.04,3.96,0.0,0.0
103,94.85,5.15,0.0,0.0
104,94.76,5.24,0.0,0.0
105,92.32,6.74,0.0,0.94
106,93.14,6.86,0.0,0.0
107,90.14,8.07,0.0,1.8
108,89.42,9.09,0.0,1.49
109,87.18,10.83,0.0,1.98
110,85.81,11.93,0.0,2.27
111,82.77,14.38,0.0,2.86
112,80.95,15.86,0.0,3.18
113,78.32,18.49,0.0,3.19
114,74.85,20.9,0.0,4.25
115,70.75,23.54,0.0,5.71
116,98.34,1.66,0.0,0.0
117,98.39,1.61,0.0,0.0
118,97.67,2.33,0.0,0.0
119,97.19,2.81,0.0,0.0
120,96.71,3.29,0.0,0.0
121,96.77,3.23,0.0,0.0
122,96.47,3.53,0.0,0.0
123,96.15,3.85,0.0,0.0
124,94.55,5.45,0.0,0.0
125,94.11,5.89,0.0,0.0
126,92.51,6.42,0.0,1.07
127,90.91,7.63,0.0,1.47
128,89.82,8.35,0.0,1.83
129,88.07,9.52,0.0,2.41
130,86.86,10.85,0.0,2.3
131,84.88,12.32,0.0,2.8
132,82.67,14.37,0.0,2.96
133,79.67,16.58,0.0,3.75
134,76.72,18.88,0.0,4.4
135,73.21,20.94,0.0,5.85
136,70.58,23.9,0.0,5.52
137,98.6,1.4,0.0,0.0
138,97.61,2.39,0.0,0.0
139,97.84,2.16,0.0,0.0
140,97.14,2.86,0.0,0.0
141,97.09,2.91,0.0,0.0
142,96.75,3.25,0.0,0.0
143,95.93,4.07,0.0,0.0
144,94.03,4.7,0.0,1.27
145,94.73,5.27,0.0,0.0
146,92.53,6.28,0.0,1.19
147,91.65,6.96,0.0,1.38
148,90.86,7.52,0.0,1.61
149,89.24,8.48,0.0,2.28
150,87.94,9.99,0.0,2.08
151,85.83,10.91,0.0,3.26
152,84.58,12.42,0.0,3.0
153,81.27,14.44,0.0,4.29
154,78.5,16.53,0.0,4.97
155,75.16,19.24,0.0,5.6
156,72.48,21.95,0.0,5.57
157,68.44,24.45,0.0,7.1
158,98.0,2.0,0.0,0.0
159,97.72,2.28,0.0,0.0
160,97.57,2.43,0.0,0.0
161,96.66,3.34,0.0,0.0
162,96.64,3.36,0.0,0.0
163,96.38,3.62,0.0,0.0
164,95.99,4.01,0.0,0.0
165,94.5,4.43,0.0,1.07
166,93.26,5.03,0.0,1.71
167,92.66,6.17,0.0,1.18
168,90.55,7.53,0.0,1.92
169,89.81,7.87,0.0,2.32
170,88.57,8.6,0.0,2.84
171,87.0,10.04,0.0,2.96
172,84.91,11.59,0.0,3.49
173,82.72,12.59,0.0,4.68
174,80.02,14.97,0.0,5.02
175,77.05,16.86,0.0,6.09
176,74.75,18.65,0.0,6.6
177,70.36,21.47,0.0,8.17
178,67.34,23.98,0.0,8.67
179,97.71,2.29,0.0,0.0
180,97.88,2.12,0.0,0.0
181,97.59,2.41,0.0,0.0
182,96.37,2.66,0.97,0.0
183,95.99,2.98,0.0,1.03
184,95.32,3.45,0.0,1.23
185,95.73,4.27,0.0,0.0
186,93.43,4.66,0.0,1.91
187,93.62,5.05,0.0,1.32
188,91.84,5.93,0.0,2.23
189,90.13,7.2,0.0,2.67
190,89.37,7.7,0.0,2.93
191,88.07,8.81,0.0,3.12
192,84.38,10.75,0.0,4.88
193,83.28,11.71,0.0,5.02
194,80.03,13.97,0.0,5.99
195,77.56,15.86,0.0,6.58
196,75.89,17.09,0.0,7.02
197,72.7,19.33,0.0,7.97
198,69.06,21.46,0.0,9.47
199,66.17,23.98,0.0,9.84
200,96.19,1.91,1.91,0.0
201,96.52,1.83,1.65,0.0
202,96.52,2.22,1.26,0.0
203,95.82,2.57,1.61,0.0
204,94.29,3.17,1.34,1.2
205,94.56,3.75,1.69,0.0
206,92.71,4.17,1.32,1.8
207,92.37,4.74,1.2,1.69
208,92.06,5.61,0.0,2.33
209,90.51,6.03,0.92,2.54
210,88.51,7.45,0.0,4.04
211,86.49,8.59,1.04,3.87
212,86.36,9.24,0.0,4.41
213,84.48,10.39,0.0,5.13
214,82.12,12.24,0.0,5.65
215,79.39,13.93,0.0,6.68
216,75.4,15.86,1.2,7.54
217,73.46,17.64,0.0,8.9
218,69.67,19.8,0.81,9.72
219,66.52,21.95,0.99,10.54
220,63.63,24.62,0.0,11.75
221,95.66,1.55,2.79,0.0
222,95.25,2.15,2.6,0.0
223,95.06,3.03,1.91,0.0
224,93.07,2.57,3.03,1.33
225,93.17,3.02,2.74,1.07
226,91.81,3.71,2.52,1.96
227,91.05,4.34,2.11,2.5
228,90.43,4.45,2.1,3.01
229,89.15,5.62,1.97,3.26
230,88.55,6.56,1.64,3.25
231,86.74,7.69,1.49,4.07
232,86.15,7.94,1.33,4.59
233,83.73,9.52,1.84,4.91
234,81.68,10.8,1.71,5.81
235,78.86,11.71,2.08,7.36
236,76.86,13.91,1.58,7.65
237,73.97,15.97,1.55,8.51
238,71.01,17.47,1.56,9.96
239,67.29,19.79,1.8,11.12
240,65.02,21.57,1.4,12.01
241,62.64,23.39,0.99,12.98
242,94.06,2.06,3.88,0.0
243,93.71,2.4,3.89,0.0
244,93.12,3.14,3.75,0.0
245,90.39,3.65,3.79,2.18
246,90.12,4.06,3.37,2.45
247,90.54,3.82,3.3,2.34
248,88.37,5.13,3.17,3.33
249,88.09,5.61,3.03,3.26
250,86.6,6.2,3.11,4.1
251,85.37,7.05,2.57,5.0
252,83.18,8.21,2.89,5.73
253,81.57,9.89,2.16,6.38
254,78.75,11.55,2.74,6.96
255,75.86,12.46,2.98,8.7
256,74.65,14.24,2.53,8.58
257,71.5,16.03,2.1,10.36
258,68.57,16.83,2.6,12.0
259,65.64,19.08,2.12,13.16
260,62.49,21.07,2.19,14.25
261,92.54,1.76,5.7,0.0
262,91.07,2.24,5.25,1.43
263,90.86,2.51,4.84,1.79
264,89.74,2.68,4.95,2.62
265,88.58,4.06,4.74,2.62
266,87.35,3.94,4.73,3.98
267,86.74,4.56,4.3,4.4
268,84.61,5.89,4.12,5.39
269,84.04,6.58,3.67,5.71
270,82.35,7.4,4.14,6.11
271,81.41,8.29,3.96,6.34
272,77.34,10.18,4.33,8.15
