Index,Au,Pd,Pt,Ru
1,56.3,32.95,5.59,5.15
2,52.09,36.28,5.76,5.87
3,49.05,39.3,5.47,6.18
4,45.92,41.84,5.57,6.68
5,42.77,44.49,5.37,7.38
6,38.62,47.47,5.49,8.43
7,36.27,49.09,5.04,9.6
8,32.97,51.11,5.36,10.56
9,29.67,53.5,5.0,11.83
10,26.59,55.02,4.75,13.64
11,24.24,56.84,4.68,14.23
12,60.02,28.45,6.79,4.75
13,57.25,30.46,7.01,5.28
14,53.18,34.59,6.46,5.78
15,49.18,36.88,7.02,6.92
16,45.95,39.85,6.57,7.63
17,43.41,41.94,6.6,8.05
18,39.17,44.54,6.49,9.8
19,36.37,45.99,6.31,11.33
20,33.51,48.91,5.95,11.63
21,30.33,50.74,5.69,13.24
22,26.9,52.81,5.65,14.64
23,24.05,54.76,5.47,15.73
24,21.27,56.24,5.52,16.97
25,64.24,23.87,7.54,4.35
26,60.48,26.77,7.55,5.19
27,56.4,29.57,7.84,6.18
28,52.71,32.96,7.86,6.48
29,49.3,35.2,8.02,7.48
30,46.29,37.67,7.49,8.55
31,42.23,39.87,7.76,10.13
32,39.56,42.19,7.49,10.76
33,36.15,44.31,7.31,12.24
34,32.87,46.44,6.92,13.77
35,30.18,47.87,6.63,15.31
36,26.99,49.94,6.7,16.37
37,23.8,52.22,6.21,17.78
38,21.1,53.68,5.91,19.3
39,18.58,55.27,5.86,20.29
40,67.4,19.1,9.06,4.44
41,63.96,22.31,9.48,4.24
42,60.12,24.72,9.16,6.0
43,55.64,27.84,9.38,7.15
44,52.38,30.58,9.58,7.46
45,49.08,33.27,9.06,8.59
46,45.56,35.62,9.11,9.71
47,42.39,37.96,8.95,10.7
48,38.83,39.96,8.69,12.52
49,35.88,42.02,8.44,13.66
50,32.99,44.11,8.2,14.7
51,29.51,45.9,7.75,16.84
52,26.83,47.77,7.36,18.04
53,23.76,48.78,7.31,20.15
54,20.91,50.9,6.7,21.5
55,18.4,52.6,6.53,22.48
56,16.27,53.77,6.17,23.8
57,69.4,16.16,10.44,3.99
58,65.83,18.54,11.16,4.46
59,62.6,21.01,11.11,5.28
60,58.4,23.77,11.18,6.66
61,54.71,26.55,11.46,7.28
62,50.95,29.46,11.34,8.25
63,48.0,31.35,11.21,9.44
64,44.6,33.63,10.73,11.03
65,41.3,35.74,10.92,12.04
66,38.19,37.85,10.09,13.87
67,35.13,39.7,9.77,15.4
68,32.3,41.34,9.32,17.04
69,29.15,43.26,9.04,18.55
70,26.0,45.39,8.37,20.24
71,23.07,46.9,8.18,21.85
72,20.64,48.42,7.68,23.27
73,18.11,49.4,7.22,25.28
74,15.95,50.86,6.83,26.36
75,13.7,51.91,6.66,27.73
76,68.04,15.1,12.75,4.11
77,63.59,17.83,12.98,5.61
78,60.23,20.12,13.26,6.39
79,56.99,22.18,13.53,7.3
80,53.33,24.89,13.09,8.7
81,50.1,27.07,13.33,9.49
82,46.71,29.63,13.0,10.66
83,43.01,31.75,12.74,12.5
84,40.29,33.58,12.21,13.92
85,36.9,36.16,11.71,15.23
86,34.24,37.35,11.35,17.05
87,30.47,39.44,10.92,19.17
88,27.94,40.82,10.32,20.92
89,25.25,43.1,9.68,21.97
90,22.76,44.21,9.1,23.94
91,20.11,45.47,8.78,25.64
92,17.69,46.49,8.33,27.49
93,15.48,48.28,7.7,28.54
94,13.67,48.77,7.21,30.35
95,67.88,13.01,14.92,4.19
96,65.41,14.27,15.42,4.9
97,61.97,16.92,15.67,5.44
98,58.32,19.07,15.69,6.91
99,54.94,20.99,15.87,8.2
100,51.96,23.28,15.43,9.33
101,48.33,25.62,15.19,10.86
102,44.73,28.06,14.88,12.33
103,41.47,30.24,14.44,13.85
104,38.46,31.87,13.86,15.81
105,35.59,33.88,13.39,17.14
106,33.08,35.27,13.07,18.59
107,29.97,36.96,12.04,21.03
108,26.54,38.21,11.84,23.42
109,24.34,40.16,11.27,24.23
110,22.21,41.37,10.41,26.02
111,19.28,42.89,9.92,27.91
112,17.09,44.23,9.31,29.37
113,15.05,45.37,8.82,30.76
114,13.16,45.36,8.2,33.29
115,11.58,46.73,7.69,34.0
116,65.31,12.97,17.47,4.25
117,62.15,14.39,17.99,5.48
118,59.1,15.76,18.2,6.95
119,56.33,17.78,18.12,7.77
120,53.65,19.32,18.2,8.82
121,49.94,22.35,17.75,9.96
122,46.47,24.17,17.27,12.09
123,42.85,26.31,17.04,13.8
124,40.13,28.15,16.56,15.17
125,37.33,29.82,16.0,16.84
126,34.16,31.68,15.42,18.74
127,31.38,33.1,14.7,20.82
128,28.64,34.8,14.07,22.49
129,26.14,35.85,13.27,24.73
130,23.64,37.25,12.81,26.29
131,20.93,39.11,12.1,27.87
132,18.45,40.13,11.31,30.11
133,16.22,41.5,10.55,31.73
134,14.15,42.02,9.94,33.89
135,12.19,42.64,9.39,35.77
136,11.17,43.51,8.46,36.86
137,61.99,11.9,20.46,5.65
138,59.39,12.95,21.06,6.6
139,55.98,15.06,21.23,7.73
140,53.21,16.85,20.93,9.02
141,50.16,18.43,20.74,10.67
142,47.35,20.31,20.74,11.6
143,43.85,22.8,19.77,13.57
144,41.58,24.1,19.13,15.18
145,38.28,25.44,18.98,17.3
146,35.05,28.43,17.73,18.79
147,32.47,29.48,17.27,20.78
148,30.45,30.74,16.54,22.27
