;x;y;Ru;Pd;Ag;Pt;Au;Total
Spektrum 1 {351};17.82;31.026;7.7;31.9;1.9;5.4;3.1;50.0
Spektrum 1 {352};22.32;31.026;7.8;32.7;1.5;5.2;2.7;50.0
Spektrum 1 {353};26.818;31.026;7.6;33.7;1.3;5.2;2.2;50.0
Spektrum 1 {354};31.32;31.026;7.4;35.0;1.3;4.5;1.8;50.0
Spektrum 1 {362};-27.169;35.525;7.0;20.5;5.8;10.4;6.3;50.0
Spektrum 1 {363};-22.67;35.525;6.5;21.1;5.8;10.5;6.0;50.0
Spektrum 1 {364};-18.17;35.525;7.3;22.7;4.5;9.7;5.8;50.0
Spektrum 1 {365};-13.671;35.525;7.3;23.1;4.9;9.0;5.6;50.0
Spektrum 1 {366};-9.17;35.525;7.6;24.7;4.3;9.1;4.3;50.0
Spektrum 1 {367};-4.669;35.525;8.0;25.9;3.3;8.5;4.3;50.0
Spektrum 1 {368};-0.169;35.525;7.7;27.2;2.9;8.1;4.1;50.0
Spektrum 1 {369};4.317;35.525;7.8;28.7;2.6;7.8;3.1;50.0
Spektrum 1 {370};8.819;35.525;7.7;29.1;2.8;7.2;3.2;50.0
Spektrum 1 {371};13.32;35.525;8.0;30.3;2.0;6.7;3.0;50.0
Spektrum 1 {372};17.818;35.525;8.1;31.3;1.7;6.3;2.5;50.0
Spektrum 1 {373};22.318;35.525;8.4;32.4;1.4;5.6;2.2;50.0
Spektrum 1 {374};26.82;35.525;5.7;15.9;8.4;23.4;-3.4;50.0
Spektrum 1 {384};-22.67;40.021;6.9;20.7;5.7;11.2;5.4;50.0
Spektrum 1 {385};-18.169;40.021;7.0;22.0;5.1;11.0;4.8;50.0
Spektrum 1 {386};-13.67;40.021;7.5;23.4;4.2;10.2;4.7;50.0
Spektrum 1 {387};-9.171;40.021;7.7;24.0;4.6;9.4;4.4;50.0
Spektrum 1 {388};-4.671;40.021;8.2;25.2;3.3;9.2;4.1;50.0
Spektrum 1 {389};-0.172;40.021;8.2;25.7;3.6;8.8;3.7;50.0
Spektrum 1 {390};4.318;40.021;8.4;27.4;2.8;8.1;3.3;50.0
Spektrum 1 {391};8.817;40.021;8.6;28.3;2.2;7.8;3.1;50.0
Spektrum 1 {392};13.319;40.021;8.5;29.2;2.2;7.6;2.6;50.0
Spektrum 1 {393};17.817;40.021;9.0;29.9;2.1;6.7;2.3;50.0
Spektrum 1 {394};22.317;40.021;8.6;31.0;1.8;6.5;1.9;50.0
Spektrum 1 {407};-13.67;44.521;8.4;22.0;4.6;11.0;3.9;50.0
Spektrum 1 {408};-9.17;44.521;8.5;23.4;4.0;10.3;3.8;50.0
Spektrum 1 {409};-4.67;44.521;8.3;24.6;4.2;9.8;3.3;50.0
Spektrum 1 {410};-0.171;44.521;8.8;25.2;3.5;9.4;3.1;50.0
Spektrum 1 {411};4.319;44.521;8.7;26.1;3.4;8.8;2.9;50.0
Spektrum 1 {412};8.818;44.521;9.0;27.2;2.8;8.6;2.4;50.0
Spektrum 1 {413};13.319;44.521;9.1;28.4;2.5;7.7;2.3;50.0
